AoA,M1.5_CA-ALPHA,M1.0_CA-ALPHA,M4.63_CA-ALPHA,M3.96_CA-ALPHA,M0.95_CA-ALPHA,M2.96_CA-ALPHA,M0.6_CA-ALPHA,M2.3_CA-ALPHA,M0.8_CA-ALPHA,M1.2_CA-ALPHA,M1.8_CA-ALPHA,M0.9_CA-ALPHA
5.800000000000001,0.3876774365932343,0.4322981207659273,0.1861294205173538,0.21534399666307685,0.32714779653321846,0.27124086002306186,0.23982039273614086,0.3284714872047701,0.24466363637617847,0.5048759279298882,0.37634947063711055,0.2791545881181415
5.9,0.3881921470848782,0.43294804849314145,0.18635552580103568,0.21578108598474177,0.3281301852140312,0.2716556514769106,0.24056098766884346,0.32916989444101086,0.24537960073978762,0.5057660719366913,0.3769102497666982,0.2800682037632545
6.0,0.38871928184609156,0.4336110486930479,0.18659958460950501,0.21619302770122023,0.329126032725166,0.2720668513542632,0.24127080026274816,0.3298484069688434,0.2460982987668176,0.506647056993687,0.3774709868269426,0.2809599116728717
6.100000000000001,0.3892608358424356,0.43429305473791235,0.1868617572947554,0.2165779912496139,0.3301384779516185,0.2724744641831626,0.24194875892895176,0.3305037430857953,0.24682262369751812,0.507518659396693,0.37803207361828667,0.2818291258908101
6.200000000000001,0.38981856318018576,0.43500000000000005,0.1871417012293496,0.21693445133860612,0.33117037196867244,0.2728784944916521,0.24259379220971064,0.33113407292490055,0.24755546877213913,0.5083807255822467,0.37859390194117315,0.28267526046088637
6.300000000000001,0.3903921808181332,0.4357363477282675,0.18743907376721877,0.21726346461277107,0.3322208628448223,0.27327894680777465,0.2432054173079502,0.33173995995700345,0.24829952378712544,0.5092331983187665,0.3791568372955582,0.28349777256271713
6.4,0.3909803813844998,0.4365006806784352,0.18775353226229402,0.21756738598098624,0.33328652826756894,0.27367582565957355,0.24378509331001869,0.33232219120141365,0.24905481359634818,0.5100760273655865,0.3797209263239475,0.28429668441858275
6.5,0.39158184974879867,0.43729011148291475,0.1880847340685065,0.21784858018572717,0.3343638941476965,0.27406913557509177,0.24433467915869259,0.33288155367744054,0.24981948970630485,0.5109091624820409,0.38028600355095565,0.28507241545301476
6.600000000000001,0.39219527078054284,0.43810175277411767,0.1884323365397874,0.21810941196946948,0.3354494863959891,0.2744588810823726,0.2448560337967484,0.3334188344043937,0.25059166468983707,0.5117325534274633,0.38085189966674843,0.28582539334557294
6.700000000000001,0.39281932934924507,0.4389327171844553,0.18879599703006772,0.21835224607468867,0.33653983092323075,0.2748450667094592,0.2453510161669626,0.33393482040158246,0.2513694511197865,0.512546149961188,0.38141844536149144,0.28655604577581745
6.800000000000001,0.3934527103244186,0.4397801173463394,0.18917537289327876,0.21857944724386036,0.33763145364020547,0.2752276969843944,0.2458214852121117,0.3344302986883165,0.2521509615689945,0.5133499018425488,0.38198547132535027,0.287264800423308
6.9,0.39409409857557615,0.4406410658921814,0.18957012148335156,0.21879338021946013,0.3387208804576973,0.27560677643522175,0.2462692998749723,0.3349060562839052,0.25293430861030286,0.5141437588308797,0.38255280824849075,0.28795208496760455
7.0,0.3947421789722309,0.4415126754543927,0.18997990015421728,0.21899640974396345,0.33980463728649046,0.27598230958998404,0.24669631909832074,0.3353628802076579,0.25371760481655325,0.5149276706855149,0.3831202868210784,0.2886183270882671
7.100000000000001,0.3953956363838958,0.44239205866538506,0.19040436625980708,0.21919090055984602,0.34087925003736896,0.27635430097672453,0.24710440182493365,0.33580155747888435,0.2544989627605872,0.5157015871657883,0.38368773773327897,0.2892639544648556
