AoA,M2.3_Cm-ALPHA,M1.0_Cm-ALPHA,M1.5_Cm-ALPHA,M0.6_Cm-ALPHA,M4.63_Cm-ALPHA
12.700000000000003,7.440496565131632,6.272409122931635,6.053981342633069,6.2178001183974905,6.6811016499849085
12.8,7.537087120650164,6.34396234662152,6.122893430803865,6.280773751958845,6.739505620747914
12.900000000000002,7.634017948066261,6.415864692337591,6.192317577029124,6.343881529515269,6.798054743725374
13.0,7.731272845160069,6.488106864592362,6.262299399603999,6.407117657216601,6.856749239460636
13.100000000000001,7.8288255360361125,6.560679567898365,6.332884516823653,6.470476341212688,6.9155893284970515
13.200000000000003,7.926637410823592,6.633573506768117,6.404118546983241,6.533951787653374,6.974575231377962
13.3,8.024669106873821,6.706779385714137,6.476047108377918,6.597538202688498,7.033707168646716
13.400000000000002,8.122881261538124,6.780287909248954,6.548715819302846,6.6612297924679105,7.092985360846665
13.5,8.221234512167808,6.854089781885084,6.622170298053177,6.7250207631414485,7.152410028521151
13.600000000000001,8.319689496114199,6.928175708135054,6.696456162924077,6.788905320858961,7.211981392213527
13.700000000000003,8.41820685072861,7.002536392511386,6.771619032210698,6.85287767177029,7.271699672467139
13.8,8.51674721336235,7.077162539526596,6.847704524208198,6.916932022025277,7.331565089825329
13.900000000000002,8.615271221366749,7.152044853693215,6.924758257211736,6.98106257777377,7.391577864831452
14.0,8.713739512093113,7.2271740395237565,7.002825849516468,7.045263545165607,7.451738218028848
14.100000000000001,8.812112722892767,7.302540801530752,7.081952919417555,7.109529130350638,7.512046369960873
14.200000000000003,8.910351491117021,7.378135844226716,7.162185085210153,7.173853539478704,7.57250254117087
14.3,9.008416454117194,7.453949872124173,7.243567965189417,7.2382309786996455,7.633106952202183
14.400000000000002,9.106268249244602,7.529973589735648,7.326147177650508,7.302655654163312,7.693859823598165
14.5,9.203867513850561,7.606197701573658,7.409968340888582,7.36712177201954,7.754761157946497
14.600000000000001,9.301174885286391,7.682612912150729,7.4950770731988,7.431623538418181,7.815808402546182
14.700000000000003,9.398151000903406,7.759209925979385,7.581518992876317,7.496155159509076,7.876997345830108
14.8,9.49475649805292,7.83597944757214,7.6693396682658355,7.5607108414420665,7.9383237481172575
14.900000000000002,9.590952014086254,7.912912181441526,7.758556819554329,7.625284790366998,7.999783369726628
15.0,9.686698186354722,7.989998832100059,7.849114049822976,7.689871212433712,8.061371970977202
15.100000000000001,9.781955652209644,8.067230104060263,7.940942767218283,7.754464313792055,8.123085312187975
15.200000000000003,9.876685049002333,8.144596701834661,8.033974379886743,7.8190583005918715,8.184919153677932
15.3,9.97085002868736,8.222089329935773,8.128140295974848,7.883647378983001,8.246869255766057
15.400000000000002,10.064431193148517,8.299698692876124,8.223371923629104,7.948225755115292,8.308931378771353
15.5,10.157415063728992,8.377415495168233,8.319600670995998,8.012787635138583,8.371101283012797
15.600000000000001,10.249788167944734,8.455230441324627,8.416757946222038,8.07732722520272,8.433374728809381
15.700000000000003,10.341537033311683,8.533134235857824,8.514775157453712,8.141838731457552,8.4957474764801
15.8,10.432648187345777,8.611117583280345,8.613583712837523,8.206316360052915,8.558215286343936
15.900000000000002,10.523108157562966,8.68917118810472,8.713115020519965,8.270754317138659,8.62077391871988
16.0,10.612903471479184,8.767285754843456,8.813300488647531,8.335146808864616,8.683419133926924
16.1,10.702020656610383,8.845451988009096,8.914071525366726,8.399488041380645,8.746146692284054
16.200000000000003,10.790446240472498,8.923660592114146,9.015359538824045,8.463772220836583,8.808952354110263
16.3,10.878166750581473,9.001902271671131,9.117095937165978,8.52799355338227,8.871831879724532
16.400000000000002,10.965168714453252,9.080167731192578,9.219212128539032,8.592146245167559,8.934781029445862
16.5,11.051438659603773,9.158447675191006,9.321639521089695,8.65622450234228,8.997795563593233
16.6,11.136963113548987,9.236732808178939,9.424309522964473,8.720222531056288,9.060871242485636
16.700000000000003,11.221728603804833,9.315013834668898,9.527153542309856,8.784134537459426,9.124003826442063
16.8,11.305721657887247,9.393281459173403,9.630102987272343,8.847954727701532,9.1871890757815
16.900000000000002,11.38892880331218,9.471526386204982,9.733089265998434,8.911677307932454,9.25042275082294
17.0,11.471336567595564,9.54973932027615,9.836043786634619,8.975296484302032,9.313700611885366
17.1,11.552931478253356,9.627910965899435,9.938897957327402,9.038806462960114,9.377018419287774
17.200000000000003,11.633700062801488,9.706032027587359,10.041583186223278,9.102201450056544,9.44037193334915
17.3,11.713628848755903,9.784093209852438,10.14403088146874,9.16547565174116,9.50375691438848
17.400000000000002,11.792704363632547,9.862085217207202,10.246172451210292,9.228623274163812,9.567169122724763
17.5,11.870913134947358,9.939998754164165,10.347939303594424,9.291638523474338,9.630604318676975
17.6,11.948241690216284,10.01782452523586,10.449262846767638,9.354515605822588,9.694058262564115
17.700000000000003,12.024676556955264,10.0955532349348,10.550074488876431,9.4172487273584,9.757526714705168
17.8,12.10020426268024,10.173175587773509,10.650305638067296,9.47983209423162,9.821005435419124
17.900000000000002,12.174811334907156,10.25068228826451,10.749887702486735,9.542259912592094,9.884490185024971
18.0,12.24848430115195,10.328064040920326,10.848752090281238,9.60452638858966,9.947976723841702
18.1,12.321209688930574,10.405311550253481,10.946830209597309,9.666625728374166,10.011460812188302
18.200000000000003,12.392974025758962,10.482415520776494,11.044053468581444,9.728552138095457,10.074938210383765
18.3,12.463763839153057,10.559366657001886,11.140353275380132,9.790299823903373,10.138404678747072
18.400000000000002,12.533565656628806,10.636155663442183,11.235661038139883,9.851862991947762,10.20185597759722
18.5,12.602366005702146,10.712773244609906,11.329908165007184,9.91323584837846,10.265287867253194
18.6,12.670151413889025,10.789210105017577,11.423026064128535,9.97441259934532,10.328696108033986
18.700000000000003,12.73690840870538,10.865456949177718,11.514946143650436,10.035387450998183,10.392076460258586
18.8,12.802623517667156,10.941504481602848,11.605599811719378,10.096154609486886,10.455424684245976
18.900000000000002,12.867283268290297,11.017343406805496,11.694918476481865,10.15670828096128,10.518736540315151
19.0,12.93087418809074,11.09296442929818,11.782833546084385,10.217042671571205,10.5820077887851
19.1,12.993382804584435,11.168358253593421,11.869276428673444,10.277151987466508,10.645234189974811
19.200000000000003,13.05479564528732,11.243515584203745,11.954178532395536,10.33703043479703,10.708411504203276
19.3,13.115099237715338,11.31842712564167,12.037471265397153,10.396672219712617,10.771535491789477
19.400000000000002,13.174280109384432,11.393083582419722,12.119086035824802,10.456071548363111,10.834601913052412
19.5,13.232324787810539,11.467475659050418,12.19895425182497,10.515222626898355,10.897606528311062
19.6,13.289219800509608,11.541594060046288,12.27700732154416,10.574119661468194,10.960545097884424
19.700000000000003,13.344951674997583,11.615429489919851,12.353176653128868,10.632756858222473,11.023413382091483
19.8,13.3995069387904,11.688972653183622,12.427393654725586,10.691128423311032,11.086207141251226
19.900000000000002,13.452872119404006,11.762214254350132,12.49958973448082,10.74922856288372,11.148922135682644
20.0,13.50503374435434,11.8351449979319,12.56969630054106,10.807051483090373,11.21155412570473
20.1,13.555978341157346,11.907755588441452,12.637644761052805,10.864591390080843,11.274098871636468
20.200000000000003,13.605692437328969,11.980036730391305,12.703366524162554,10.92184249000497,11.336552133796852
20.3,13.654162560385144,12.051979128293981,12.7667929980168,10.978798989012596,11.398909672504868
20.400000000000002,13.701375237841821,12.123573486662007,12.827855590762043,11.035455093253567,11.461167248079501
20.5,13.747316997214943,12.1948105100079,12.886485710544779,11.091805008877724,11.52332062083975
20.6,13.791974366020446,12.265680902844187,12.942614765511507,,
20.700000000000003,13.835333871774276,12.336175369683387,12.996174163808721,,
20.8,13.877382041992375,12.40628461503802,13.047095313582918,,
20.900000000000002,13.918105404190683,12.475999343420614,13.0953096229806,,
21.0,13.957490485885145,,13.140748500148257,,
21.1,13.995523814591706,,13.183343353232392,,
21.200000000000003,14.032191917826305,,13.223025590379494,,
21.3,14.067481323104882,,13.259726619736067,,
21.400000000000002,14.101378557943386,,13.293377849448609,,
21.5,14.133870149857755,,13.323910687663611,,
21.6,14.164942626363931,,13.351256542527578,,
21.700000000000003,14.194582514977856,,,,
21.8,14.222776343215477,,,,
21.900000000000002,14.249510638592733,,,,
22.0,,,,,
22.1,,,,,
22.200000000000003,,,,,
22.3,,,,,
22.400000000000002,,,,,
22.5,,,,,
22.6,,,,,
22.700000000000003,,,,,
22.8,,,,,
22.900000000000002,,,,,
23.0,,,,,
23.1,,,,,
23.200000000000003,,,,,
23.3,,,,,
23.400000000000002,,,,,
23.5,,,,,
23.6,,,,,
23.700000000000003,,,,,
23.8,,,,,
23.900000000000002,,,,,
24.0,,,,,
