# Time                  	rho_solver              	rho_initial             	rho_final               	rho_iters               	rho_converged           	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             	e_solver                	e_initial               	e_final                 	e_iters                 	e_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         
2631                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	7.1893189000000005e-08	5.1289686999999998e-11	1	1.1682964000000000e-06	7.3064999999999995e-10	1	4.6302094999999998e-07	3.0534834999999998e-10	1	false	smoothSolver	1.4448319999999999e-08	2.2315197000000000e-11	1	true	DILUPBiCGStab	3.0611075999999998e-06	3.1014754000000002e-11	1	true	smoothSolver	3.7608261999999999e-07	1.6308635000000000e-10	1	true	smoothSolver	1.8868512999999999e-10	2.6269942000000001e-13	1	true
1394                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	2.6555538000000003e-07	2.3965129000000001e-09	1	8.5237413999999996e-06	6.2594809999999998e-08	1	1.8529667000000000e-06	1.4756566000000000e-08	1	false	smoothSolver	7.1467855999999996e-08	1.1123313000000000e-09	1	true	DILUPBiCGStab	1.2550463999999999e-05	2.6048445000000001e-09	1	true	smoothSolver	9.9356584999999990e-07	7.0041372000000001e-09	1	true	smoothSolver	1.5569190000000000e-06	6.4309774000000002e-12	1	true
2525                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	4.4685597000000001e-07	1.4595808000000000e-08	1	1.3408994000000000e-05	4.0525019999999999e-07	1	2.7741727000000001e-06	8.2269485000000006e-08	1	false	smoothSolver	1.8757523000000000e-07	1.0957796999999999e-08	1	true	DILUPBiCGStab	1.9035200000000000e-05	2.5195889000000000e-08	1	true	smoothSolver	1.2328369000000001e-06	3.7290198000000002e-08	1	true	smoothSolver	3.3812824000000003e-08	9.3352469999999995e-10	1	true
2284                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	4.9194665000000003e-07	1.7348752999999999e-08	1	2.2188961000000000e-05	7.1924027000000000e-07	1	3.3582640000000000e-06	1.1145882000000000e-07	1	false	smoothSolver	3.7177082999999999e-07	2.6298741000000000e-08	1	true	DILUPBiCGStab	2.2630990000000000e-05	2.5870058000000001e-08	1	true	smoothSolver	1.4196365000000000e-06	4.3921190999999998e-08	1	true	smoothSolver	2.3109533000000000e-08	6.8728373000000000e-10	1	true
5655                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	4.7484898999999998e-07	1.6984736999999998e-08	1	1.8032830000000000e-05	5.9774545999999996e-07	1	2.9900803000000001e-06	9.9853296000000003e-08	1	false	smoothSolver	3.4686501000000001e-08	2.3637021999999999e-09	1	true	DILUPBiCGStab	2.6696959000000000e-05	3.0000720999999999e-08	1	true	smoothSolver	1.2801229000000001e-06	3.9356552000000002e-08	1	true	smoothSolver	1.1690279000000000e-08	3.6100156000000002e-10	1	true
