# Time                  	rho_solver              	rho_initial             	rho_final               	rho_iters               	rho_converged           	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             	e_solver                	e_initial               	e_final                 	e_iters                 	e_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         
16595                   	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	8.5846221000000007e-09	1.0627594000000001e-12	1	4.5250912000000000e-07	4.9640091999999997e-11	1	2.5400208000000000e-05	3.1511558000000000e-09	1	false	smoothSolver	6.0404959999999997e-10	1.4016863999999999e-13	1	true	DILUPBiCGStab	1.8389239000000000e-05	1.0258764000000000e-12	1	true	smoothSolver	4.5882754999999999e-07	9.8525092999999996e-12	1	true	smoothSolver	1.6657041999999999e-11	5.0781830000000003e-15	1	true
1177                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	9.7370974999999994e-09	1.4271076000000000e-12	1	9.0265922999999997e-07	1.0294631000000001e-10	1	5.9529715999999997e-05	7.1303466999999997e-09	1	false	smoothSolver	4.1451205999999996e-09	6.0909724000000000e-12	1	true	DILUPBiCGStab	9.3777282000000005e-05	9.6680513000000001e-12	1	true	smoothSolver	5.7635769999999998e-07	3.2353471999999998e-11	1	true	smoothSolver	3.4925644000000000e-10	2.2035230000000001e-14	1	true
551                     	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	3.8853773999999999e-08	8.2645703999999992e-12	1	2.2607312999999998e-06	4.3087300000000001e-10	1	6.8185294000000003e-05	1.3858517000000000e-08	1	false	smoothSolver	4.8315277999999999e-09	5.9047961999999999e-12	1	true	DILUPBiCGStab	3.5999496999999998e-05	1.0941624999999999e-11	1	true	smoothSolver	1.5657900000000000e-06	1.5431303000000001e-10	1	true	smoothSolver	5.7765209999999999e-12	1.1689211999999999e-13	1	true
896                     	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	5.1109951999999997e-08	9.6260101000000006e-12	1	3.9064858999999999e-06	6.7698208999999998e-10	1	4.9155600000000001e-05	9.0322708999999997e-09	1	false	smoothSolver	6.3605556999999997e-09	9.9898328999999997e-12	1	true	DILUPBiCGStab	2.3985120999999999e-05	3.7302968999999998e-12	1	true	smoothSolver	2.5056993999999999e-06	1.8058511999999999e-10	1	true	smoothSolver	4.6773962999999997e-12	1.2798000000000000e-13	1	true
1051                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	3.1475346999999997e-08	6.1870885000000004e-12	1	2.4233756999999999e-06	4.4162647000000000e-10	1	9.5475015999999994e-05	1.8526153999999999e-08	1	false	smoothSolver	6.2637587999999999e-09	8.3746881999999995e-12	1	true	DILUPBiCGStab	1.4257570999999999e-05	3.3034182999999999e-12	1	true	smoothSolver	1.6543603999999999e-06	1.0374525999999999e-10	1	true	smoothSolver	3.2860841000000000e-12	9.2638716999999995e-14	1	true
