# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2631            	3.37326312e-01	1.79072434e-01	1.58253878e-01	5.77337084e-01	4.51344272e+00	-3.93610564e+00	4.22477418e+00	1.04092781e-02	-1.01024527e+00	1.16473999e+00	-4.27875272e-01	1.59261526e+00
1394            	3.42074959e-01	1.81631075e-01	1.60443883e-01	5.92258007e-01	4.50471024e+00	-3.91245223e+00	4.20858123e+00	1.05935960e-02	-1.07262419e+00	1.15232318e+00	-4.96462602e-01	1.64878578e+00
2525            	3.37221470e-01	1.78993201e-01	1.58228269e-01	5.79884048e-01	4.44776364e+00	-3.86787960e+00	4.15782162e+00	1.03824663e-02	-1.18175231e+00	1.17579202e+00	-5.93856299e-01	1.76964832e+00
2284            	3.38604696e-01	1.79810548e-01	1.58794147e-01	5.70636103e-01	4.45093970e+00	-3.88030360e+00	4.16562165e+00	1.05082005e-02	-1.20573401e+00	1.18379707e+00	-6.13835472e-01	1.79763254e+00
5655            	3.34304957e-01	1.77624479e-01	1.56680478e-01	5.69681931e-01	4.44925745e+00	-3.87957552e+00	4.16441649e+00	1.04720009e-02	-1.21086098e+00	1.18234178e+00	-6.19690091e-01	1.80203187e+00
