# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
11091           	3.47896784e-01	1.89096767e-01	1.58800017e-01	2.83083571e-01	3.70242597e+00	-3.41934240e+00	3.56088418e+00	1.51483747e-02	-4.39750441e+00	1.86323729e+00	-3.46588576e+00	5.32912305e+00
4849            	3.06689511e-01	1.66856250e-01	1.39833261e-01	3.10081902e-01	3.58421761e+00	-3.27413571e+00	3.42917666e+00	1.35114946e-02	-4.39591224e+00	1.80963754e+00	-3.49109347e+00	5.30073100e+00
2051            	3.01449808e-01	1.64067280e-01	1.37382528e-01	2.94532413e-01	3.58333940e+00	-3.28880699e+00	3.43607320e+00	1.33423758e-02	-4.49841654e+00	1.80581336e+00	-3.59550985e+00	5.40132322e+00
2051            	2.92138356e-01	1.59605909e-01	1.32532447e-01	2.75156415e-01	3.60919958e+00	-3.33404317e+00	3.47162137e+00	1.35367306e-02	-4.45025600e+00	1.83326063e+00	-3.53362568e+00	5.36688631e+00
1081            	3.14533816e-01	1.71753454e-01	1.42780362e-01	2.43557381e-01	3.44643831e+00	-3.20288093e+00	3.32465962e+00	1.44865462e-02	-4.54691838e+00	1.84775254e+00	-3.62304211e+00	5.47079465e+00
