# Time                  	rho_solver              	rho_initial             	rho_final               	rho_iters               	rho_converged           	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             	e_solver                	e_initial               	e_final                 	e_iters                 	e_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         
11091                   	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	DILUPBiCGStab	1.7791895000000001e-08	9.2194643999999997e-16	1	2.5551266999999999e-07	8.9345348000000004e-15	1	1.9351072000000001e-07	7.7660731999999998e-15	1	false	DILUPBiCGStab	8.0448796999999999e-09	1.5219909999999999e-15	1	true	GAMG	9.6222244999999995e-06	1.3259954000000000e-12	1	true	DILUPBiCGStab	1.1160792000000000e-07	3.0830470000000000e-15	1	true	DILUPBiCGStab	6.4629599999999995e-08	1.5194857000000000e-16	1	true
4849                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	DILUPBiCGStab	8.1126530999999999e-09	2.4329310999999999e-16	1	1.7635727000000000e-07	3.6646198000000000e-15	1	6.2921542999999996e-08	1.6187058000000000e-15	1	false	DILUPBiCGStab	8.5940394000000000e-09	1.1589038000000001e-15	1	true	GAMG	1.5272279000000000e-06	1.0336754000000001e-12	1	true	DILUPBiCGStab	5.8466454999999998e-08	1.0815806000000000e-15	1	true	DILUPBiCGStab	7.4098456000000003e-13	3.9834880000000000e-21	1	true
2051                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	DILUPBiCGStab	1.9192978999999998e-08	5.0774191999999997e-15	1	3.7706106000000000e-07	1.2062345000000001e-15	2	1.5376366000000001e-07	7.9802322000000001e-16	2	false	DILUPBiCGStab	1.4471988000000000e-08	1.5841579000000001e-15	2	true	GAMG	1.6087362000000000e-06	3.0587815000000001e-12	1	true	DILUPBiCGStab	1.3383066000000001e-07	4.4880533000000004e-16	2	true	DILUPBiCGStab	4.5016009000000000e-11	7.5514910000000000e-18	1	true
2051                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	DILUPBiCGStab	1.4525661000000000e-08	2.6247944000000002e-15	1	4.2639698999999999e-07	6.0509324000000004e-16	2	1.1941348000000001e-07	4.7329869999999996e-16	2	false	DILUPBiCGStab	1.5661478000000001e-08	5.6932771000000004e-16	2	true	GAMG	6.0544126999999995e-07	8.8124664000000001e-13	1	true	DILUPBiCGStab	1.0933066000000000e-07	3.6353669999999999e-16	2	true	DILUPBiCGStab	1.0391508999999999e-11	4.4694835999999996e-19	1	true
1081                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	DILUPBiCGStab	1.0374171000000001e-08	2.3860276999999999e-15	1	3.6144548000000001e-07	7.5210409999999999e-16	2	1.0054784000000000e-07	2.5144365999999998e-16	2	false	DILUPBiCGStab	1.3058162000000001e-08	3.2034979000000001e-16	2	true	GAMG	4.0656976000000000e-07	3.0795081000000002e-12	1	true	DILUPBiCGStab	9.7291547000000006e-08	6.7135942000000003e-16	2	true	DILUPBiCGStab	2.9335235999999999e-12	3.6824042000000002e-18	1	true
