# Time                  	rho_solver              	rho_initial             	rho_final               	rho_iters               	rho_converged           	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	rhoE_solver             	rhoE_initial            	rhoE_final              	rhoE_iters              	rhoE_converged          	e_solver                	e_initial               	e_final                 	e_iters                 	e_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         	rhoU_solver             	rhoUx_initial           	rhoUx_final             	rhoUx_iters             	rhoUy_initial           	rhoUy_final             	rhoUy_iters             	rhoUz_initial           	rhoUz_final             	rhoUz_iters             	rhoU_converged          
5123                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	1.0461300000000000e-10	1.9282300000000000e-16	4	4.0735499999999999e-10	7.1064499999999998e-19	4	5.7500799999999998e-11	1.6717700000000001e-16	4	false	DILUPBiCGStab	1.1349100000000000e-09	1.6551500000000000e-13	1	true	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	1.4383100000000001e-11	4.1325800000000002e-17	4	true	DILUPBiCGStab	2.2973299999999999e-12	2.9699600000000002e-16	1	true	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	0.0000000000000000e+00	0.0000000000000000e+00	0	0.0000000000000000e+00	0.0000000000000000e+00	0	false
2790                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	1.3973299999999999e-10	2.0822200000000001e-15	4	1.2684100000000000e-09	1.0093800000000000e-13	4	1.1450900000000000e-10	6.2811100000000000e-15	4	false	DILUPBiCGStab	1.9637000000000000e-07	5.9032200000000004e-12	1	true	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	1.6851899999999999e-10	9.2321000000000007e-16	26	true	DILUPBiCGStab	1.6201700000000000e-10	1.8580100000000002e-18	1	true	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	0.0000000000000000e+00	0.0000000000000000e+00	0	0.0000000000000000e+00	0.0000000000000000e+00	0	false
4462                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	3.6642299999999999e-09	7.9947100000000000e-13	4	9.1655100000000001e-08	1.6482699999999999e-11	4	1.5035499999999999e-08	2.6585199999999999e-12	4	false	DILUPBiCGStab	2.0327300000000000e-07	4.0183600000000000e-10	1	true	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	7.6883599999999997e-09	9.2885900000000005e-15	100	false	DILUPBiCGStab	1.4336500000000000e-10	7.7649700000000004e-16	1	true	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	0.0000000000000000e+00	0.0000000000000000e+00	0	0.0000000000000000e+00	0.0000000000000000e+00	0	false
3067                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	2.2170700000000001e-08	4.7722299999999998e-12	4	4.6891199999999998e-07	9.8608699999999995e-11	4	9.4917700000000000e-08	1.7845800000000001e-11	4	false	DILUPBiCGStab	2.8532800000000001e-06	2.4914399999999999e-08	1	true	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	4.9679599999999997e-08	4.0463700000000002e-14	100	false	DILUPBiCGStab	5.9771999999999998e-10	4.2582699999999997e-15	1	true	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	0.0000000000000000e+00	0.0000000000000000e+00	0	0.0000000000000000e+00	0.0000000000000000e+00	0	false
4178                    	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	3.4299299999999998e-08	6.3076400000000000e-12	4	6.0134900000000005e-07	1.3840399999999999e-10	4	1.2653300000000001e-07	2.6356300000000000e-11	4	false	DILUPBiCGStab	2.3258900000000002e-06	2.5136800000000001e-08	1	true	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	true	smoothSolver	7.8216500000000004e-08	4.1069100000000000e-14	100	false	DILUPBiCGStab	6.7789200000000004e-10	8.3807299999999992e-15	1	true	diagonal	0.0000000000000000e+00	0.0000000000000000e+00	0	0.0000000000000000e+00	0.0000000000000000e+00	0	0.0000000000000000e+00	0.0000000000000000e+00	0	false
